
[competition_run.17] 현재 최고기록: 2번째 시도, 승리 횟수: 72, 평균step: 131.01388888888889
[competition_run.16] 현재 최고기록: 2번째 시도, 승리 횟수: 78, 평균step: 137.7051282051282
[competition_run.13] 현재 최고기록: 1번째 시도, 승리 횟수: 73, 평균step: 146.5068493150685
[competition_run.20] 현재 최고기록: 1번째 시도, 승리 횟수: 71, 평균step: 122.5774647887324
[competition_run.21] 현재 최고기록: 4번째 시도, 승리 횟수: 79, 평균step: 132.0759493670886
[competition_run.24] 현재 최고기록: 2번째 시도, 승리 횟수: 74, 평균step: 135.3783783783784
[competition_run.27] 현재 최고기록: 3번째 시도, 승리 횟수: 75, 평균step: 123.37333333333333
[competition_run.22] 현재 최고기록: 1번째 시도, 승리 횟수: 79, 평균step: 125.78481012658227
[competition_run.9] 현재 최고기록: 2번째 시도, 승리 횟수: 70, 평균step: 133.45714285714286
[competition_run.15] 현재 최고기록: 2번째 시도, 승리 횟수: 79, 평균step: 130.44303797468353
[competition_run.14] 현재 최고기록: 2번째 시도, 승리 횟수: 71, 평균step: 117.54929577464789
[competition_run.19] 현재 최고기록: 2번째 시도, 승리 횟수: 80, 평균step: 128.4125
[competition_run.28] 현재 최고기록: 1번째 시도, 승리 횟수: 74, 평균step: 127.94594594594595
[competition_run.23] 현재 최고기록: 1번째 시도, 승리 횟수: 74, 평균step: 148.72972972972974
[competition_run.12] 현재 최고기록: 2번째 시도, 승리 횟수: 75, 평균step: 130.36
[competition_run.25] 현재 최고기록: 3번째 시도, 승리 횟수: 72, 평균step: 141.97222222222223
[competition_run.18] 현재 최고기록: 1번째 시도, 승리 횟수: 75, 평균step: 141.70666666666668
[competition_run.26] 현재 최고기록: 1번째 시도, 승리 횟수: 78, 평균step: 120.2948717948718
[competition_run.10] 현재 최고기록: 2번째 시도, 승리 횟수: 72, 평균step: 141.16666666666666
[competition_run.11] 현재 최고기록: 3번째 시도, 승리 횟수: 74, 평균step: 140.75675675675674
[competition_run.5] 현재 최고기록: 4번째 시도, 승리 횟수: 75, 평균step: 140.17333333333335
[competition_run.7] 현재 최고기록: 4번째 시도, 승리 횟수: 79, 평균step: 119.50632911392405
[competition_run.4] 현재 최고기록: 1번째 시도, 승리 횟수: 76, 평균step: 161.1578947368421
[competition_run.1] 현재 최고기록: 4번째 시도, 승리 횟수: 76, 평균step: 143.68421052631578
[competition_run.6] 현재 최고기록: 1번째 시도, 승리 횟수: 79, 평균step: 148.39240506329114
[competition_run.2] 현재 최고기록: 2번째 시도, 승리 횟수: 76, 평균step: 139.55263157894737
[competition_run.8] 현재 최고기록: 3번째 시도, 승리 횟수: 76, 평균step: 112.90789473684211
[competition_run.3] 현재 최고기록: 1번째 시도, 승리 횟수: 80, 평균step: 125.5
